id;zone1_id;zone2_id;euclidean_distance
55052;7;68;32.0
55053;7;69;27.0
55054;8;1;82.0
55055;8;2;64.0
55056;8;3;54.0
55057;8;4;41.0
55058;8;5;25.0
55059;8;6;19.0
55060;8;7;11.0
55061;8;9;14.0
55062;8;10;23.0
55063;8;11;46.0
55064;8;12;53.0
55065;8;13;60.0
55066;8;14;50.0
55067;8;15;51.0
55068;8;16;45.0
55069;8;17;42.0
55070;8;18;18.0
55071;8;19;46.0
55072;8;20;41.0
55073;8;21;13.0
55074;8;22;74.0
55075;8;23;86.0
55076;8;24;81.0
55077;8;25;84.0
55078;8;26;96.0
55079;8;27;100.0
55080;8;28;92.0
55081;8;29;83.0
55082;8;30;76.0
55083;8;31;73.0
55084;8;32;74.0
55085;8;33;70.0
55086;8;34;43.0
55087;8;35;56.0
55088;8;36;70.0
55089;8;37;55.0
55090;8;38;46.0
55091;8;39;61.0
55092;8;40;50.0
55093;8;41;36.0
55094;8;42;42.0
55095;8;43;54.0
55096;8;44;15.0
55097;8;45;16.0
55098;8;46;19.0
55099;8;47;19.0
55100;8;48;15.0
55101;8;49;17.0
55102;8;50;5.0
55103;8;51;16.0
55104;8;52;27.0
55105;8;53;35.0
55106;8;54;42.0
55107;8;55;52.0
55108;8;56;55.0
55109;8;57;60.0
55110;8;58;71.0
55111;8;59;87.0
55112;8;60;84.0
55113;8;61;91.0
55114;8;62;89.0
55115;8;63;93.0
55116;8;64;79.0
55117;8;65;59.0
55118;8;66;34.0
55119;8;67;30.0
55120;8;68;25.0
55121;8;69;30.0
55122;9;1;97.0
55123;9;2;78.0
55124;9;3;68.0
55125;9;4;55.0
55126;9;5;39.0
55127;9;6;33.0
55128;9;7;25.0
55129;9;8;14.0
55130;9;10;9.0
55131;9;11;33.0
55132;9;12;44.0
55133;9;13;53.0
55134;9;14;51.0
55135;9;15;55.0
55136;9;16;50.0
55137;9;17;35.0
55138;9;18;27.0
55139;9;19;60.0
55140;9;20;42.0
55141;9;21;26.0
55142;9;22;88.0
55143;9;23;100.0
55144;9;24;96.0
55145;9;25;99.0
55146;9;26;111.0
55147;9;27;114.0
55148;9;28;105.0
55149;9;29;97.0
55150;9;30;89.0
55151;9;31;85.0
55152;9;32;86.0
55153;9;33;79.0
55154;9;34;51.0
55155;9;35;69.0
55156;9;36;84.0
55157;9;37;51.0
55158;9;38;50.0
55159;9;39;68.0
55160;9;40;38.0
55161;9;41;23.0
55162;9;42;28.0
55163;9;43;39.0
55164;9;44;9.0
55165;9;45;3.0
55166;9;46;10.0
55167;9;47;13.0
55168;9;48;16.0
55169;9;49;25.0
55170;9;50;18.0
55171;9;51;31.0
55172;9;52;41.0
55173;9;53;50.0
55174;9;54;56.0
55175;9;55;67.0
55176;9;56;69.0
55177;9;57;74.0
55178;9;58;85.0
55179;9;59;101.0
55180;9;60;98.0
55181;9;61;106.0
55182;9;62;104.0
55183;9;63;108.0
55184;9;64;94.0
55185;9;65;74.0
55186;9;66;47.0
55187;9;67;15.0
55188;9;68;18.0
55189;9;69;35.0
55190;10;1;106.0
55191;10;2;87.0
55192;10;3;78.0
55193;10;4;65.0
55194;10;5;48.0
55195;10;6;42.0
55196;10;7;34.0
55197;10;8;23.0
55198;10;9;9.0
55199;10;11;23.0
55200;10;12;35.0
55201;10;13;46.0
55202;10;14;48.0
55203;10;15;53.0
55204;10;16;50.0
55205;10;17;28.0
55206;10;18;31.0
55207;10;19;69.0
55208;10;20;41.0
55209;10;21;33.0
55210;10;22;97.0
55211;10;23;109.0
55212;10;24;104.0
55213;10;25;107.0
55214;10;26;119.0
55215;10;27;121.0
55216;10;28;112.0
55217;10;29;103.0
55218;10;30;96.0
55219;10;31;91.0
55220;10;32;91.0
55221;10;33;81.0
55222;10;34;53.0
55223;10;35;75.0
55224;10;36;92.0
55225;10;37;46.0
55226;10;38;50.0
55227;10;39;70.0
55228;10;40;28.0
55229;10;41;13.0
55230;10;42;18.0
55231;10;43;30.0
55232;10;44;17.0
55233;10;45;8.0
55234;10;46;8.0
55235;10;47;13.0
55236;10;48;19.0
55237;10;49;29.0
55238;10;50;27.0
55239;10;51;39.0
55240;10;52;50.0
55241;10;53;58.0
55242;10;54;66.0
55243;10;55;76.0
55244;10;56;79.0
55245;10;57;84.0
55246;10;58;95.0
55247;10;59;111.0
55248;10;60;107.0
55249;10;61;115.0
55250;10;62;112.0
55251;10;63;116.0
55252;10;64;102.0
55253;10;65;83.0
55254;10;66;53.0
55255;10;67;10.0
55256;10;68;14.0
55257;10;69;37.0
55258;11;1;128.0
55259;11;2;110.0
55260;11;3;101.0
55261;11;4;87.0
55262;11;5;70.0
55263;11;6;63.0
55264;11;7;55.0
55265;11;8;46.0
55266;11;9;33.0
55267;11;10;23.0
55268;11;12;19.0
55269;11;13;33.0
55270;11;14;49.0
55271;11;15;56.0
55272;11;16;55.0
55273;11;17;22.0
55274;11;18;48.0
55275;11;19;90.0
55276;11;20;45.0
55277;11;21;53.0
55278;11;22;120.0
55279;11;23;130.0
55280;11;24;124.0
55281;11;25;126.0
55282;11;26;138.0
55283;11;27;137.0
55284;11;28;127.0
55285;11;29;118.0
55286;11;30;111.0
55287;11;31;106.0
55288;11;32;104.0
55289;11;33;89.0
55290;11;34;63.0
55291;11;35;90.0
55292;11;36;111.0
55293;11;37;38.0
55294;11;38;56.0
55295;11;39;77.0
55296;11;40;6.0
55297;11;41;10.0
55298;11;42;12.0
55299;11;43;18.0
55300;11;44;40.0
55301;11;45;31.0
55302;11;46;27.0
55303;11;47;29.0
55304;11;48;36.0
55305;11;49;46.0
55306;11;50;48.0
55307;11;51;61.0
55308;11;52;72.0
55309;11;53;79.0
55310;11;54;88.0
55311;11;55;97.0
55312;11;56;101.0
55313;11;57;106.0
55314;11;58;117.0
55315;11;59;133.0
55316;11;60;128.0
55317;11;61;136.0
55318;11;62;132.0
55319;11;63;136.0
55320;11;64;122.0
55321;11;65;103.0
55322;11;66;70.0
55323;11;67;24.0
55324;11;68;24.0
55325;11;69;48.0
55326;12;1;130.0
55327;12;2;115.0
55328;12;3;106.0
55329;12;4;92.0
55330;12;5;74.0
55331;12;6;67.0
55332;12;7;60.0
55333;12;8;53.0
55334;12;9;44.0
55335;12;10;35.0
55336;12;11;19.0
55337;12;13;14.0
55338;12;14;36.0
55339;12;15;44.0
55340;12;16;45.0
55341;12;17;13.0
55342;12;18;48.0
55343;12;19;92.0
55344;12;20;35.0
55345;12;21;56.0
55346;12;22;124.0
55347;12;23;131.0
55348;12;24;124.0
55349;12;25;125.0
55350;12;26;136.0
55351;12;27;132.0
55352;12;28;122.0
55353;12;29;113.0
55354;12;30;106.0
55355;12;31;100.0
55356;12;32;96.0
55357;12;33;78.0
55358;12;34;56.0
55359;12;35;86.0
55360;12;36;109.0
55361;12;37;22.0
55362;12;38;46.0
55363;12;39;67.0
55364;12;40;14.0
55365;12;41;26.0
55366;12;42;30.0
55367;12;43;35.0
55368;12;44;53.0
55369;12;45;42.0
55370;12;46;35.0
55371;12;47;34.0
55372;12;48;40.0
55373;12;49;47.0
55374;12;50;53.0
55375;12;51;65.0
55376;12;52;76.0
55377;12;53;82.0
55378;12;54;92.0
55379;12;55;99.0
55380;12;56;104.0
55381;12;57;110.0
55382;12;58;121.0
55383;12;59;136.0
55384;12;60;129.0
55385;12;61;136.0
55386;12;62;131.0
55387;12;63;134.0
55388;12;64;121.0
55389;12;65;105.0
55390;12;66;69.0
55391;12;67;40.0
55392;12;68;28.0
55393;12;69;43.0
55394;13;1;130.0
55395;13;2;118.0
55396;13;3;108.0
55397;13;4;95.0
55398;13;5;77.0
55399;13;6;70.0
55400;13;7;64.0
55401;13;8;60.0
55402;13;9;53.0
55403;13;10;46.0
55404;13;11;33.0
55405;13;12;14.0
55406;13;14;27.0
55407;13;15;35.0
55408;13;16;39.0
55409;13;17;18.0
55410;13;18;50.0
55411;13;19;93.0
55412;13;20;31.0
55413;13;21;60.0
55414;13;22;126.0
55415;13;23;130.0
55416;13;24;122.0
55417;13;25;123.0
55418;13;26;134.0
55419;13;27;127.0
55420;13;28;116.0
55421;13;29;108.0
55422;13;30;100.0
55423;13;31;94.0
55424;13;32;90.0
55425;13;33;69.0
55426;13;34;51.0
55427;13;35;82.0
55428;13;36;106.0
55429;13;37;11.0
55430;13;38;39.0
55431;13;39;58.0
55432;13;40;28.0
55433;13;41;39.0
55434;13;42;45.0
55435;13;43;50.0
55436;13;44;62.0
55437;13;45;52.0
55438;13;46;44.0
55439;13;47;41.0
55440;13;48;45.0
55441;13;49;50.0
55442;13;50;59.0
55443;13;51;68.0
55444;13;52;78.0
55445;13;53;83.0
55446;13;54;94.0
55447;13;55;100.0
55448;13;56;106.0
55449;13;57;112.0
55450;13;58;123.0
55451;13;59;137.0
55452;13;60;128.0
55453;13;61;135.0
55454;13;62;129.0
55455;13;63;132.0
55456;13;64;119.0
55457;13;65;104.0
55458;13;66;68.0
55459;13;67;52.0
55460;13;68;35.0
55461;13;69;42.0
55462;14;1;106.0
55463;14;2;97.0
55464;14;3;88.0
55465;14;4;75.0
55466;14;5;59.0
55467;14;6;53.0
55468;14;7;49.0
55469;14;8;50.0
55470;14;9;51.0
55471;14;10;48.0
55472;14;11;49.0
55473;14;12;36.0
55474;14;13;27.0
55475;14;15;8.0
55476;14;16;11.0
55477;14;17;26.0
55478;14;18;33.0
55479;14;19;71.0
55480;14;20;9.0
55481;14;21;44.0
55482;14;22;104.0
55483;14;23;105.0
55484;14;24;96.0
55485;14;25;96.0
55486;14;26;107.0
55487;14;27;99.0
55488;14;28;88.0
55489;14;29;80.0
55490;14;30;73.0
55491;14;31;66.0
55492;14;32;62.0
55493;14;33;42.0
55494;14;34;24.0
55495;14;35;56.0
55496;14;36;80.0
55497;14;37;17.0
55498;14;38;12.0
55499;14;39;30.0
55500;14;40;47.0
55501;14;41;49.0
55502;14;42;57.0
55503;14;43;67.0
55504;14;44;59.0
55505;14;45;50.0
55506;14;46;42.0
55507;14;47;37.0
55508;14;48;36.0
55509;14;49;34.0
55510;14;50;47.0
55511;14;51;52.0
55512;14;52;60.0
55513;14;53;62.0
55514;14;54;74.0
55515;14;55;78.0
55516;14;56;84.0
55517;14;57;91.0
55518;14;58;102.0
55519;14;59;114.0
55520;14;60;104.0
55521;14;61;109.0
55522;14;62;103.0
55523;14;63;105.0
55524;14;64;93.0
55525;14;65;81.0
55526;14;66;44.0
55527;14;67;58.0
55528;14;68;34.0
55529;14;69;22.0
55530;15;1;101.0
55531;15;2;93.0
55532;15;3;85.0
55533;15;4;73.0
55534;15;5;57.0
55535;15;6;52.0
55536;15;7;49.0
55537;15;8;51.0
55538;15;9;55.0
55539;15;10;53.0
55540;15;11;56.0
55541;15;12;44.0
55542;15;13;35.0
55543;15;14;8.0
55544;15;16;7.0
55545;15;17;34.0
55546;15;18;34.0
55547;15;19;67.0
55548;15;20;12.0
55549;15;21;44.0
55550;15;22;99.0
55551;15;23;99.0
55552;15;24;90.0
55553;15;25;90.0
55554;15;26;100.0
55555;15;27;91.0
55556;15;28;81.0
55557;15;29;73.0
55558;15;30;65.0
55559;15;31;59.0
55560;15;32;54.0
55561;15;33;34.0
55562;15;34;19.0
55563;15;35;49.0
55564;15;36;74.0
55565;15;37;25.0
55566;15;38;7.0
55567;15;39;22.0
55568;15;40;54.0
55569;15;41;56.0
55570;15;42;64.0
55571;15;43;74.0
55572;15;44;63.0
55573;15;45;54.0
55574;15;46;47.0
55575;15;47;42.0
55576;15;48;39.0
55577;15;49;35.0
55578;15;50;48.0
55579;15;51;51.0
55580;15;52;58.0
55581;15;53;59.0
55582;15;54;71.0
55583;15;55;73.0
55584;15;56;81.0
55585;15;57;87.0
55586;15;58;97.0
55587;15;59;109.0
55588;15;60;98.0
55589;15;61;103.0
55590;15;62;97.0
55591;15;63;98.0
55592;15;64;87.0
55593;15;65;76.0
55594;15;66;40.0
55595;15;67;63.0
55596;15;68;39.0
55597;15;69;22.0
55598;16;1;95.0
55599;16;2;86.0
55600;16;3;78.0
55601;16;4;66.0
55602;16;5;50.0
55603;16;6;45.0
55604;16;7;42.0
55605;16;8;45.0
55606;16;9;50.0
55607;16;10;50.0
55608;16;11;55.0
55609;16;12;45.0
55610;16;13;39.0
55611;16;14;11.0
55612;16;15;7.0
55613;16;17;34.0
55614;16;18;27.0
55615;16;19;60.0
55616;16;20;10.0
55617;16;21;38.0
55618;16;22;93.0
55619;16;23;93.0
55620;16;24;85.0
55621;16;25;85.0
55622;16;26;95.0
55623;16;27;88.0
55624;16;28;77.0
55625;16;29;69.0
55626;16;30;61.0
55627;16;31;55.0
55628;16;32;51.0
55629;16;33;33.0
55630;16;34;13.0
55631;16;35;44.0
55632;16;36;68.0
55633;16;37;28.0
55634;16;38;3.0
55635;16;39;22.0
55636;16;40;54.0
55637;16;41;53.0
55638;16;42;61.0
55639;16;43;72.0
55640;16;44;57.0
55641;16;45;49.0
55642;16;46;42.0
55643;16;47;37.0
55644;16;48;34.0
55645;16;49;29.0
55646;16;50;41.0
55647;16;51;44.0
55648;16;52;51.0
55649;16;53;52.0
55650;16;54;64.0
55651;16;55;67.0
55652;16;56;74.0
55653;16;57;80.0
55654;16;58;91.0
55655;16;59;103.0
55656;16;60;92.0
55657;16;61;97.0
55658;16;62;91.0
55659;16;63;93.0
55660;16;64;81.0
55661;16;65;69.0
55662;16;66;34.0
55663;16;67;59.0
55664;16;68;36.0
55665;16;69;16.0
55666;17;1;116.0
55667;17;2;102.0
55668;17;3;93.0
55669;17;4;79.0
55670;17;5;61.0
55671;17;6;54.0
55672;17;7;47.0
55673;17;8;42.0
55674;17;9;35.0
55675;17;10;28.0
55676;17;11;22.0
55677;17;12;13.0
55678;17;13;18.0
55679;17;14;26.0
55680;17;15;34.0
55681;17;16;34.0
55682;17;18;35.0
55683;17;19;79.0
55684;17;20;23.0
55685;17;21;43.0
55686;17;22;111.0
55687;17;23;117.0
55688;17;24;110.0
55689;17;25;112.0
55690;17;26;123.0
55691;17;27;119.0
55692;17;28;109.0
55693;17;29;100.0
55694;17;30;93.0
55695;17;31;87.0
55696;17;32;84.0
55697;17;33;67.0
55698;17;34;43.0
55699;17;35;73.0
55700;17;36;95.0
55701;17;37;18.0
55702;17;38;34.0
55703;17;39;56.0
55704;17;40;20.0
55705;17;41;24.0
55706;17;42;31.0
55707;17;43;40.0
55708;17;44;44.0
55709;17;45;33.0
55710;17;46;26.0
55711;17;47;23.0
55712;17;48;28.0
55713;17;49;34.0
55714;17;50;41.0
55715;17;51;52.0
55716;17;52;63.0
55717;17;53;68.0
55718;17;54;79.0
55719;17;55;86.0
55720;17;56;91.0
55721;17;57;97.0
55722;17;58;108.0
55723;17;59;123.0
55724;17;60;116.0
55725;17;61;122.0
55726;17;62;118.0
55727;17;63;121.0
55728;17;64;107.0
55729;17;65;91.0
55730;17;66;55.0
55731;17;67;36.0
55732;17;68;17.0
55733;17;69;30.0
55734;18;1;81.0
55735;18;2;67.0
55736;18;3;58.0
55737;18;4;44.0
55738;18;5;27.0
55739;18;6;20.0
55740;18;7;15.0
55741;18;8;18.0
55742;18;9;27.0
55743;18;10;31.0
55744;18;11;48.0
55745;18;12;48.0
55746;18;13;50.0
55747;18;14;33.0
55748;18;15;34.0
55749;18;16;27.0
55750;18;17;35.0
55751;18;19;44.0
55752;18;20;24.0
55753;18;21;12.0
55754;18;22;76.0
55755;18;23;83.0
55756;18;24;76.0
55757;18;25;78.0
55758;18;26;90.0
55759;18;27;89.0
55760;18;28;80.0
55761;18;29;71.0
55762;18;30;64.0
55763;18;31;59.0
55764;18;32;59.0
55765;18;33;52.0
55766;18;34;25.0
55767;18;35;43.0
55768;18;36;62.0
55769;18;37;43.0
55770;18;38;28.0
55771;18;39;42.0
55772;18;40;50.0
55773;18;41;41.0
55774;18;42;48.0
55775;18;43;61.0
55776;18;44;32.0
55777;18;45;27.0
55778;18;46;23.0
55779;18;47;19.0
55780;18;48;12.0
55781;18;49;3.0
55782;18;50;14.0
55783;18;51;19.0
55784;18;52;28.0
55785;18;53;33.0
55786;18;54;44.0
55787;18;55;51.0
55788;18;56;56.0
55789;18;57;62.0
55790;18;58;73.0
55791;18;59;88.0
55792;18;60;81.0
55793;18;61;88.0
55794;18;62;84.0
55795;18;63;87.0
55796;18;64;74.0
55797;18;65;56.0
55798;18;66;22.0
55799;18;67;41.0
55800;18;68;23.0
55801;18;69;12.0
55802;19;1;37.0
55803;19;2;26.0
55804;19;3;19.0
55805;19;4;13.0
55806;19;5;21.0
55807;19;6;27.0
55808;19;7;35.0
55809;19;8;46.0
55810;19;9;60.0
55811;19;10;69.0
55812;19;11;90.0
55813;19;12;92.0
55814;19;13;93.0
55815;19;14;71.0
55816;19;15;67.0
55817;19;16;60.0
55818;19;17;79.0
55819;19;18;44.0
55820;19;20;64.0
55821;19;21;38.0
55822;19;22;33.0
55823;19;23;40.0
55824;19;24;36.0
55825;19;25;39.0
55826;19;26;51.0
55827;19;27;59.0
55828;19;28;54.0
55829;19;29;47.0
55830;19;30;42.0
55831;19;31;42.0
55832;19;32;48.0
55833;19;33;61.0
55834;19;34;49.0
55835;19;35;30.0
55836;19;36;28.0
55837;19;37;84.0
55838;19;38;60.0
55839;19;39;59.0
55840;19;40;93.0
55841;19;41;82.0
55842;19;42;88.0
55843;19;43;100.0
